Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12
54	3	295	26	Jane and her two older brothers and sisters decided together to have a surprise birthday	party for a friend at the end of December.	88	259923155	88	42	Jane	have a surprise birthday
54	4	394	26	Jane and her brothers decided together to have a surprise birthday	party for a friend at the end of December.	66	259923155	66	42	Jane	have a surprise birthday
55	1	295	16	The businessman brought some yellow coloured dominoes	and was playing with them absent-mindedly.	53	1565446275	54	42	The	some yellow coloured dominoes
55	2	394	16	The man had some yellow coloured dominoes	and was playing with them absent-mindedly.	41	1614674145	41	42	The	some yellow coloured dominoes
55	3	295	26	"The businessman, who was very tired that evening, took out some yellow coloured dominoes"	and was playing with them absent-mindedly.	88	259923155	88	42	The	some yellow coloured dominoes
55	4	394	26	"The man, after a long day, took out some yellow coloured dominoes"	and was playing with them absent-mindedly.	65	2559849254	66	42	The	some yellow coloured dominoes
56	1	295	16	"While she stood and waited patiently, the truck slowly"	pulled over just around the corner.	54	1594982997	54	35	While	"patiently, the truck slowly"
56	2	394	16	"While he sat patiently, the truck slowly"	pulled over just around the corner.	40	1575291849	41	35	While	"patiently, the truck slowly"
56	3	295	26	"While the three middle-aged women chattered away and waited patiently, the truck slowly"	pulled over just around the corner.	87	2569694828	88	35	While	"patiently, the truck slowly"
56	4	394	26	"While the two women chatted and waited patiently, the truck slowly"	pulled over just around the corner.	66	259923155	66	35	While	"patiently, the truck slowly"
57	1	295	16	The poor village women expected many crimes to happen	during the long and bloody civil war.	53	1565446275	54	37	The	many crimes to happen
57	2	394	16	The women expected many crimes to happen	during the long and bloody civil war.	40	1575291849	41	37	The	many crimes to happen
57	3	295	26	The poor women living outside the large metropolitan city expected many crimes to happen	during the long and bloody civil war.	88	259923155	88	37	The	many crimes to happen
57	4	394	26	The poor women from the large city expected many crimes to happen	during the long and bloody civil war.	65	2559849254	66	37	The	many crimes to happen
58	1	295	16	The offices in town have windows with venetian blinds	that look very professional from the outside.	53	1565446275	54	45	The	windows with venetian blinds
58	2	394	16	The inn has windows with venetian blinds	that look very professional from the outside.	40	1575291849	41	45	The	windows with venetian blinds
58	3	295	26	The fourteen newly built hostel accommodations in town have windows with venetian blinds	that look very professional from the outside.	88	259923155	88	45	The	windows with venetian blinds
58	4	394	26	The newly built offices in town have windows with venetian blinds	that look very professional from the outside.	65	2559849254	66	45	The	windows with venetian blinds
59	1	295	16	She is often seen as a brilliant and young entrepreneur	with strong opinions about the economy.	55	1624519719	54	39	She	brilliant and young entrepreneur
59	2	394	16	She is a brilliant and young entrepreneur	with strong opinions about the economy.	41	1614674145	41	39	She	brilliant and young entrepreneur
59	3	295	26	She very quickly gained popularity around the world as a brilliant and young entrepreneur	with strong opinions about the economy.	89	2628768273	88	39	She	brilliant and young entrepreneur
59	4	394	26	She quickly gained popularity as a brilliant and young entrepreneur	with strong opinions about the economy.	67	2638613847	66	39	She	brilliant and young entrepreneur
60	1	295	16	"At the fourth annual festival, Tom will be performing a"	piano solo to raise money for charity.	55	1624519719	54	38	At	will be performing a
60	2	394	16	"At the concert, Tom will be performing a"	piano solo to raise money for charity.	40	1575291849	41	38	At	will be performing a
60	3	295	26	"At the thirty-seventh annual music festival in late September, Tom will be performing a"	piano solo to raise money for charity.	87	2569694828	88	38	At	will be performing a
60	4	394	26	"At the seventeenth annual music festival, Tom will be performing a"	piano solo to raise money for charity.	66	259923155	66	38	At	will be performing a
61	1	295	16	Dan was happy to sit at his mother?s table for dinner	shortly after the guests had left the house.	53	1565446275	54	44	Dan	mother?s table for dinner
61	2	394	16	Dan sat at his mother?s table for dinner	shortly after the guests had left the house.	40	1575291849	41	44	Dan	mother?s table for dinner
61	3	295	26	Dan was very excited because he was finally able to sit at his mother?s table for dinner	shortly after the guests had left the house.	88	259923155	88	44	Dan	mother?s table for dinner
61	4	394	26	Dan was excited to be able to sit at his mother?s table for dinner	shortly after the guests had left the house.	66	259923155	66	44	Dan	mother?s table for dinner
62	1	295	16	"Unlike her sisters, Phillipa is more open and relaxed"	when she is around unfamiliar people.	53	1565446275	54	37	Unlike	more open and relaxed
62	2	394	16	"Unlike Phil, she is more open and relaxed"	when she is around unfamiliar people.	41	1614674145	41	37	Unlike	more open and relaxed
62	3	295	26	"Unlike her three sisters who live down south, Phillipa is usually more open and relaxed"	when she is around unfamiliar people.	87	2569694828	88	37	Unlike	more open and relaxed
62	4	394	26	"Unlike her two younger sisters, Phillipa is more open and relaxed"	when she is around unfamiliar people.	65	2559849254	66	37	Unlike	more open and relaxed
63	1	295	16	"While the two young children were playing in the park,"	their parents were talking about last night's football game.	54	1594982997	54	60	While	"playing in the park,"
63	2	394	16	"While the boys were playing in the park,"	their parents were talking about last night's football game.	40	1575291849	41	60	While	"playing in the park,"
63	3	295	26	"While the young sisters and their friends were having a lot of fun playing in the park,"	their parents were talking about last night's football game.	87	2569694828	88	60	While	"playing in the park,"
63	4	394	26	"While the young boys were having a lot of fun playing in the park,"	their parents were talking about last night's football game.	66	259923155	66	60	While	"playing in the park,"
64	1	295	16	The office secretary was more friendly and apologetic	after she discovered that she may get in trouble with her manager.	53	1565446275	54	66	The	more friendly and apologetic
64	2	394	16	The lady was more friendly and apologetic	after she discovered that she may get in trouble with her manager.	41	1614674145	41	66	The	more friendly and apologetic
64	3	295	26	The newly hired departmental secretary became increasingly more friendly and apologetic	after she discovered that she may get in trouble with her manager.	87	2569694828	88	66	The	more friendly and apologetic
64	4	394	26	The newly hired office secretary was more friendly and apologetic	after she discovered that she may get in trouble with her manager.	65	2559849254	66	66	The	more friendly and apologetic
65	1	295	16	He usually thought a lot about the huge difference that	his charity work would make if he could raise more money.	55	1624519719	54	57	He	the huge difference that
65	2	394	16	He thought about the huge difference that	his charity work would make if he could raise more money.	41	1614674145	41	57	He	the huge difference that
65	3	295	26	He couldn't stop thinking towards the end of the campaign about the huge difference that	his charity work would make if he could raise more money.	88	259923155	88	57	He	the huge difference that
65	4	394	26	He could not stop thinking that day about the huge difference that	his charity work would make if he could raise more money.	66	259923155	66	57	He	the huge difference that
66	1	295	16	"Despite his long list of crimes, the old burglar spent"	only three years in prison because he received a lenient sentence.	54	1594982997	54	66	Despite	the old burglar spent
66	2	394	16	"Despite his crimes, the old burglar spent"	only three years in prison because he received a lenient sentence.	41	1614674145	41	66	Despite	the old burglar spent
66	3	295	26	"Despite committing a large number of crimes all over the big city, the old burglar spent"	only three years in prison because he received a lenient sentence.	88	259923155	88	66	Despite	the old burglar spent
66	4	394	26	"Despite committing crimes all over the city, the old burglar spent"	only three years in prison because he received a lenient sentence.	66	259923155	66	66	Despite	the old burglar spent
67	1	295	16	"Though Sammy was very delighted, he was a little uneasy"	that he had just married the criminal's daughter.	55	1624519719	54	49	Though	was a little uneasy
67	2	394	16	"Though cheerful, Sam was a little uneasy"	that he had just married the criminal's daughter.	40	1575291849	41	49	Though	was a little uneasy
67	3	295	26	"Though Sammy was understandably delighted to see his pretty bride, he was a little uneasy"	that he had just married the criminal's daughter.	89	2628768273	88	49	Though	was a little uneasy
67	4	394	26	"Though Sammy was delighted to see his bride, he was a little uneasy"	that he had just married the criminal's daughter.	67	2638613847	66	49	Though	was a little uneasy
68	1	295	16	The West National Zoo has a very high white iron fence	that is designed to keep all the animals safe.	54	1594982997	54	46	The	high white iron fence
68	2	394	16	The zoo has a very high white iron fence	that is designed to keep all the animals safe.	40	1575291849	41	46	The	high white iron fence
68	3	295	26	"The National Zoo, which is just next to the history museum, has a high white iron fence"	that is designed to keep all the animals safe.	87	2569694828	88	46	The	high white iron fence
68	4	394	26	The National Zoo near the museum has a very high white iron fence	that is designed to keep all the animals safe.	65	2559849254	66	46	The	high white iron fence
69	1	295	16	One quick look at the old man revealed how glum he was	after he heard about the demise of the famous social advocate. 	54	1594982997	54	63	One	how glum he was
69	2	394	16	One look at him revealed how glum he was	after he heard about the demise of the famous social advocate. 	40	1575291849	41	63	One	how glum he was
69	3	295	26	One quick glance at the elderly pensioner with the red raincoat revealed how glum he was	after he heard about the demise of the famous social advocate. 	88	259923155	88	63	One	how glum he was
69	4	394	26	One quick glance at the pensioner close by revealed how glum he was	after he heard about the demise of the famous social advocate. 	67	2638613847	66	63	One	how glum he was
70	1	295	16	Our grandparents from Scotland were usually less strict	than our mother and would often let us play outside for hours.	55	1624519719	54	62	Our	were usually less strict
70	2	394	16	Our grandparents were usually less strict	than our mother and would often let us play outside for hours.	41	1614674145	41	62	Our	were usually less strict
70	3	295	26	"Our grandparents, who used to live in the countryside of Wales, were usually less strict"	than our mother and would often let us play outside for hours.	88	259923155	88	62	Our	were usually less strict
70	4	394	26	Our two aunts from the Welsh countryside were usually less strict	than our mother and would often let us play outside for hours.	65	2559849254	66	62	Our	were usually less strict
71	1	295	16	The shameless young man had no patience with the woman	who had accidentally fallen on the icy road.	54	1594982997	54	44	The	patience with the woman
71	2	394	16	The worker had no patience with the woman	who had accidentally fallen on the icy road.	41	1614674145	41	44	The	patience with the woman
71	3	295	26	The shameless young man who was already very late for work had no patience with the woman	who had accidentally fallen on the icy road.	89	2628768273	88	44	The	patience with the woman
71	4	394	26	The shameless young man showed very little patience with the woman	who had accidentally fallen on the icy road.	66	259923155	66	44	The	patience with the woman
72	1	295	16	Although the new director's wife spoke very clearly and	"fluently, many of her words were unintelligible in the background chatter of the party."	55	1624519719	54	87	Although	spoke very clearly and
72	2	394	16	Although his wife spoke very clearly and	"fluently, many of her words were unintelligible in the background chatter of the party."	40	1575291849	41	87	Although	spoke very clearly and
72	3	295	26	Although the young wife of the new director of business operations spoke very clearly and	"fluently, many of her words were unintelligible in the background chatter of the party."	89	2628768273	88	87	Although	spoke very clearly and
72	4	394	26	Although the wife of the business director spoke very clearly and	"fluently, many of her words were unintelligible in the background chatter of the party."	65	2559849254	66	87	Although	spoke very clearly and
73	1	295	16	Most of the important life decisions that Mary made for	her family were based on a deep understanding of her ancestry.	55	1624519719	54	62	Most	that Mary made for
73	2	394	16	Most of the decisions that Mary made for	her family were based on a deep understanding of her ancestry.	40	1575291849	41	62	Most	that Mary made for
73	3	295	26	Most of the difficult life choices and important personal commitments that Mary made for	her family were based on a deep understanding of her ancestry.	88	259923155	88	62	Most	that Mary made for
73	4	394	26	Most of the important decisions and commitments that Mary made for	her family were based on a deep understanding of her ancestry.	66	259923155	66	62	Most	that Mary made for
74	1	295	16	The funny clown slowly left the stage after receiving	a big round of applause for his excellent performance.	53	1565446275	54	54	The	the stage after receiving
74	2	394	16	The clown left the stage after receiving	a big round of applause for his excellent performance.	40	1575291849	41	54	The	the stage after receiving
74	3	295	26	The slightly eccentric but very entertaining clown slowly left the stage after receiving	a big round of applause for his excellent performance.	88	259923155	88	54	The	the stage after receiving
74	4	394	26	The slightly eccentric clown slowly left the stage after receiving	a big round of applause for his excellent performance.	66	259923155	66	54	The	the stage after receiving
75	1	295	16	The men and women planned many new trips and adventures	during the long winter months when they had to focus on their work.	55	1624519719	54	67	The	new trips and adventures
75	2	394	16	The men planned new trips and adventures	during the long winter months when they had to focus on their work.	40	1575291849	41	67	The	new trips and adventures
75	3	295	26	"The group of women, who met during the summer holidays, planned new trips and adventures"	during the long winter months when they had to focus on their work.	88	259923155	88	67	The	new trips and adventures
75	4	394	26	The group of men and women eagerly planned new trips and adventures	during the long winter months when they had to focus on their work.	67	2638613847	66	67	The	new trips and adventures
76	1	295	16	The detailed information they had about everyone?s life	on the ship was quite extraordinary.	55	1624519719	54	36	The	had about everyone?s life
76	2	394	16	The facts they had about everyone?s life	on the ship was quite extraordinary.	40	1575291849	41	36	The	had about everyone?s life
76	3	295	26	The extensive information and photographic materials that they had about everyone?s life	on the ship was quite extraordinary.	88	259923155	88	36	The	had about everyone?s life
76	4	394	26	The information and trivial details they had about everyone?s life	on the ship was quite extraordinary.	66	259923155	66	36	The	had about everyone?s life
77	1	295	16	Mrs. Bennett tactfully excused herself from the event	because she needed to attend an urgent meeting.	53	1565446275	54	47	Mrs.	herself from the event
77	2	394	16	Mrs. Bell excused herself from the event	because she needed to attend an urgent meeting.	40	1575291849	41	47	Mrs.	herself from the event
77	3	295	26	"Mrs. Bennett, the party leader, had no other option but to excuse herself from the event"	because she needed to attend an urgent meeting.	88	259923155	88	47	Mrs.	herself from the event
77	4	394	26	Mrs. Bell had no other option but to excuse herself from the event	because she needed to attend an urgent meeting.	66	259923155	66	47	Mrs.	herself from the event
78	1	295	16	The tall and athletic detective had been invited from	France in order to help out with the international investigation.	53	1565446275	54	65	The	had been invited from
78	2	394	16	The tall detective had been invited from	France in order to help out with the international investigation.	40	1575291849	41	65	The	had been invited from
78	3	295	26	The short and athletic detective who spoke with a distinct accent had been invited from	France in order to help out with the international investigation.	87	2569694828	88	65	The	had been invited from
78	4	394	26	The detective who spoke with a foreign accent had been invited from	France in order to help out with the international investigation.	67	2638613847	66	65	The	had been invited from
79	1	295	16	The much-anticipated TV series will follow the life of	the royal family during the Middle Ages.	54	1594982997	54	40	The	follow the life of
79	2	394	16	The new TV series will follow the life of	the royal family during the Middle Ages.	41	1614674145	41	40	The	follow the life of
79	3	295	26	The new and much-anticipated TV series will feature famous actors and follow the life of	the royal family during the Middle Ages.	88	259923155	88	40	The	follow the life of
79	4	394	26	The new TV series will feature famous actors and follow the life of	the royal family during the Middle Ages.	67	2638613847	66	40	The	follow the life of
80	1	295	16	The steel door opened slowly and the guard let the men	inside the restricted section of the government building.	54	1594982997	54	57	The	guard let the men
80	2	394	16	The door opened and the guard let the men	inside the restricted section of the government building.	41	1614674145	41	57	The	guard let the men
80	3	295	26	The steel security door at the end of the hallway opened slowly and the guard let the men	inside the restricted section of the government building.	89	2628768273	88	57	The	guard let the men
80	4	394	26	The door at the end of the hallway opened and the guard let the men	inside the restricted section of the government building.	67	2638613847	66	57	The	guard let the men
81	1	295	16	The adventurous woman felt very weak after the illness	that she picked up while visiting Southeast Asia.	54	1594982997	54	49	The	weak after the illness
81	2	394	16	The girl felt very weak after the illness	that she picked up while visiting Southeast Asia.	41	1614674145	41	49	The	weak after the illness
81	3	295	26	The adventurous woman had to cancel her next trip as she felt very weak after the illness	that she picked up while visiting Southeast Asia.	89	2628768273	88	49	The	weak after the illness
81	4	394	26	The girl cancelled her trip as she felt very weak after the illness	that she picked up while visiting Southeast Asia.	67	2638613847	66	49	The	weak after the illness
82	1	295	16	The two pizzeria cooks were expecting the city plumber	to come and fix the blockage in the pipes.	54	1594982997	54	42	The	expecting the city plumber
82	2	394	16	The cooks were expecting the city plumber	to come and fix the blockage in the pipes.	41	1614674145	41	42	The	expecting the city plumber
82	3	295	26	The three cooks from the five-star celebrity restaurant were expecting the city plumber	to come and fix the blockage in the pipes.	87	2569694828	88	42	The	expecting the city plumber
82	4	394	26	The three cooks from the restaurant were expecting the city plumber	to come and fix the blockage in the pipes.	67	2638613847	66	42	The	expecting the city plumber
83	1	295	16	"As Bill woke up and looked through the window, he saw"	his friend running to catch the bus.	53	1565446275	54	36	As	"the window, he saw"
83	2	394	16	"As Bill looked through the window, he saw"	his friend running to catch the bus.	41	1614674145	41	36	As	"the window, he saw"
83	3	295	26	"As Benjamin Brookfield woke up early in the morning and looked through the window, he saw"	his friend running to catch the bus.	89	2628768273	88	36	As	"the window, he saw"
83	4	394	26	"As Bill woke up that morning and looked through the window, he saw"	his friend running to catch the bus.	66	259923155	66	36	As	"the window, he saw"
84	1	295	16	Sam was very happy to learn that he was selected as one	of the five students who will represent his country at the international competition.	55	1624519719	54	85	Sam	was selected as one
84	2	394	16	Sam found out that he was selected as one	of the five students who will represent his country at the international competition.	41	1614674145	41	85	Sam	was selected as one
84	3	295	26	Sam was understandably very delighted when he first learned that he was selected as one	of the five students who will represent his country at the international competition.	87	2569694828	88	85	Sam	was selected as one
84	4	394	26	Sam was very delighted when he learned that he was selected as one	of the five students who will represent his country at the international competition.	66	259923155	66	85	Sam	was selected as one
85	1	295	16	The old mountain village received so few visitors that	people were genuinely surprised to see any strangers there.	54	1594982997	54	59	The	so few visitors that
85	2	394	16	The village received so few visitors that	people were genuinely surprised to see any strangers there.	41	1614674145	41	59	The	so few visitors that
85	3	295	26	The picturesque small village located near the mountain top received so few visitors that	people were genuinely surprised to see any strangers there.	89	2628768273	88	59	The	so few visitors that
85	4	394	26	The picturesque village near the lake received so few visitors that	people were genuinely surprised to see any strangers there.	67	2638613847	66	59	The	so few visitors that
86	1	295	16	"When the two brothers stared at the sky, they noticed"	the stars were unusually bright that night.	53	1565446275	54	43	When	"the sky, they noticed"
86	2	394	16	"When they stared at the sky, they noticed"	the stars were unusually bright that night.	41	1614674145	41	43	When	"the sky, they noticed"
86	3	295	26	"When Henry and his two brothers stopped at the peak and stared at the sky, they noticed"	the stars were unusually bright that night.	87	2569694828	88	43	When	"the sky, they noticed"
86	4	394	26	"When they stopped at the peak and stared at the sky, they noticed"	the stars were unusually bright that night.	65	2559849254	66	43	When	"the sky, they noticed"
87	1	295	16	"After she finished breakfast, Emilia prepared for her"	piano lessons and then went to the gym.	53	1565446275	54	39	After	Emilia prepared for her
87	2	394	16	"After breakfast, Emilia prepared for her"	piano lessons and then went to the gym.	40	1575291849	41	39	After	Emilia prepared for her
87	3	295	26	"After she finished breakfast and helped her mum wash the dishes, Emilia prepared for her"	piano lessons and then went to the gym.	88	259923155	88	39	After	Emilia prepared for her
87	4	394	26	"After she woke up and finished breakfast, Emilia prepared for her"	piano lessons and then went to the gym.	65	2559849254	66	39	After	Emilia prepared for her
88	1	295	16	The experienced lawyer kept changing the topic in the	hope that the incriminating evidence would go unnoticed.	53	1565446275	54	56	The	the topic in the
88	2	394	16	The lawyer kept changing the topic in the	hope that the incriminating evidence would go unnoticed.	41	1614674145	41	56	The	the topic in the
88	3	295	26	"The expert lawyer could not deal with the situation, so he kept changing the topic in the"	hope that the incriminating evidence would go unnoticed.	89	2628768273	88	56	The	the topic in the
88	4	394	26	The expert criminal defence lawyer kept changing the topic in the	hope that the incriminating evidence would go unnoticed.	65	2559849254	66	56	The	the topic in the
89	1	295	16	"When the three friends reached the cabin, they sat on"	the bench overlooking the thick forest.	53	1565446275	54	39	When	"cabin, they sat on"
89	2	394	16	"When they reached the cabin, they sat on"	the bench overlooking the thick forest.	40	1575291849	41	39	When	"cabin, they sat on"
89	3	295	26	"When the group of men and women eventually reached the deserted wooden cabin, they sat on"	the bench overlooking the thick forest.	89	2628768273	88	39	When	"cabin, they sat on"
89	4	394	26	"When the group of friends eventually reached the cabin, they sat on"	the bench overlooking the thick forest.	67	2638613847	66	39	When	"cabin, they sat on"
90	1	295	16	After Bella and Tom exchanged a few words of agreement	"about the contract, she handed over 50 pounds to him."	54	1594982997	54	53	After	few words of agreement
90	2	394	16	After exchanging a few words of agreement	"about the contract, she handed over 50 pounds to him."	41	1614674145	41	53	After	few words of agreement
90	3	295	26	After Isabella reluctantly agreed to meet Timothy and exchanged a few words of agreement	"about the contract, she handed over 50 pounds to him."	88	259923155	88	53	After	few words of agreement
90	4	394	26	After Isabella had reluctantly exchanged a few words of agreement	"about the contract, she handed over 50 pounds to him."	65	2559849254	66	53	After	few words of agreement
91	1	295	16	The new cleaning maid had left the back door unlocked	as she went out to throw away the rubbish.	53	1565446275	54	42	The	the back door unlocked
91	2	394	16	The maid had left the back door unlocked	as she went out to throw away the rubbish.	40	1575291849	41	42	The	the back door unlocked
91	3	295	26	"The old and careless housekeeper, who was recently hired, had left the back door unlocked"	as she went out to throw away the rubbish.	89	2628768273	88	42	The	the back door unlocked
91	4	394	26	The young and careless housekeeper had left the back door unlocked	as she went out to throw away the rubbish.	66	259923155	66	42	The	the back door unlocked
92	1	295	16	The attending doctor held his metal pen torch close to	the patient's face to test her pupillary responses.	54	1594982997	54	51	The	pen torch close to
92	2	394	16	The clinician held his pen torch close to	the patient's face to test her pupillary responses.	41	1614674145	41	51	The	pen torch close to
92	3	295	26	"The medical student, who was doing rounds that morning, held his metal pen torch close to"	the patient's face to test her pupillary responses.	89	2628768273	88	51	The	pen torch close to
92	4	394	26	The inexperienced medical student held his metal pen torch close to	the patient's face to test her pupillary responses.	67	2638613847	66	51	The	pen torch close to
93	1	295	16	Ed rose up meekly and quietly to follow his new tutor	who had just come from a neighbouring town.	53	1565446275	54	43	Ed	follow his new tutor
93	2	394	16	Ed rose up meekly to follow his new tutor	who had just come from a neighbouring town.	41	1614674145	41	43	Ed	follow his new tutor
93	3	295	26	Ed rose up confidently and quietly from the polished wooden bench to follow his new tutor	who had just come from a neighbouring town.	89	2628768273	88	43	Ed	follow his new tutor
93	4	394	26	Ed rose up quietly from the polished bench to follow his new tutor	who had just come from a neighbouring town.	66	259923155	66	43	Ed	follow his new tutor
94	1	295	16	He assured them one more time that he had no intention	of running off before the end of the presentation.	54	1594982997	54	50	He	he had no intention
94	2	394	16	He assured them that he had no intention	of running off before the end of the presentation.	40	1575291849	41	50	He	he had no intention
94	3	295	26	He assured his audience one more time in a soft and gentle voice that he had no intention	of running off before the end of the presentation.	89	2628768273	88	50	He	he had no intention
94	4	394	26	He repeated again in a very gentle voice that he had no intention	of running off before the end of the presentation.	65	2559849254	66	50	He	he had no intention
95	1	295	16	The three enthusiastic school children stared with awe	at the aesthetically pleasing painting.	54	1594982997	54	39	The	children stared with awe
95	2	394	16	The three school children stared with awe	at the aesthetically pleasing painting.	41	1614674145	41	39	The	children stared with awe
95	3	295	26	The teacher was explaining something about art while the school children stared with awe	at the aesthetically pleasing painting.	88	259923155	88	39	The	children stared with awe
95	4	394	26	The teacher was talking while the school children stared with awe	at the aesthetically pleasing painting.	65	2559849254	66	39	The	children stared with awe
96	1	295	16	The newly employed waitress was very smart in attending	to the customers at the five-star restaurant.	55	1624519719	54	45	The	very smart in attending
96	2	394	16	The waitress was very smart in attending	to the customers at the five-star restaurant.	40	1575291849	41	45	The	very smart in attending
96	3	295	26	The newly employed waitress and her experienced colleagues were very smart in attending	to the customers at the five-star restaurant.	87	2569694828	88	45	The	very smart in attending
96	4	394	26	The waitress and her three colleagues were very smart in attending	to the customers at the five-star restaurant.	66	259923155	66	45	The	very smart in attending
97	1	295	16	"Anna Lee, who turned 5, learned the letters very easily"	and was quickly able to start reading fluently.	55	1624519719	54	47	Anna	the letters very easily
97	2	394	16	Anna Lee learned the letters very easily	and was quickly able to start reading fluently.	40	1575291849	41	47	Anna	the letters very easily
97	3	295	26	"Anna Lee, who had just started attending primary school, learned the letters very easily"	and was quickly able to start reading fluently.	88	259923155	88	47	Anna	the letters very easily
97	4	394	26	"Anna Lee, who had just turned five, learned the letters very easily"	and was quickly able to start reading fluently.	67	2638613847	66	47	Anna	the letters very easily
98	1	295	16	"Instead of tidying up the bedroom, Al spent the morning"	playing games on his new smartphone.	55	1624519719	54	36	Instead	Al spent the morning
98	2	394	16	"Instead of cleaning, Al spent the morning"	playing games on his new smartphone.	41	1614674145	41	36	Instead	Al spent the morning
98	3	295	26	"Instead of cleaning up after himself and hoovering the two bedrooms, Al spent the morning"	playing games on his new smartphone.	89	2628768273	88	36	Instead	Al spent the morning
98	4	394	26	"Instead of tidying up the two master bedrooms, Al spent the morning"	playing games on his new smartphone.	67	2638613847	66	36	Instead	Al spent the morning
99	1	295	16	The light-hearted old sailor was generous to offer free	wine to all guests on his cruise ship.	55	1624519719	54	38	The	generous to offer free
99	2	394	16	The old sailor was generous to offer free	wine to all guests on his cruise ship.	41	1614674145	41	38	The	generous to offer free
99	3	295	26	"The cheerful sailor, who got married exactly twenty years ago, was generous to offer free"	wine to all guests on his cruise ship.	89	2628768273	88	38	The	generous to offer free
99	4	394	26	"The sailor, who got married a year ago, was generous to offer free"	wine to all guests on his cruise ship.	66	259923155	66	38	The	generous to offer free
100	1	295	16	The guests of the hotel were told that dinner will be	served one hour later due to the change in schedule.	53	1565446275	54	52	The	that dinner will be
100	2	394	16	The guests were told that dinner will be	served one hour later due to the change in schedule.	40	1575291849	41	52	The	that dinner will be
100	3	295	26	The guests of the hotel were visibly disappointed when they were told that dinner will be	served one hour later due to the change in schedule.	89	2628768273	88	52	The	that dinner will be
100	4	394	26	The guests were disappointed when they learned that dinner will be	served one hour later due to the change in schedule.	66	259923155	66	52	The	that dinner will be
